Repo Name,PRs Opened (<30 days),PRs Opened Int (<30 days),PRs Opened Ext (<30 days),PRs Opened FTC (<30 days),PRs Merged (<30 days),PR turnaround time (<30 days),PRs Closed (<30 days),PRs Open (all time),PRs Merged (all time),PRs Closed (all time),PR turnaround time (all time),Total PRs (all time),Total PRs Int (all time),Total PRs Ext (all time),Issues Opened (<30 days),Issues Opened Int (<30 days),Issues Opened Ext (<30 days),Issues Opened FTC (<30 days),Issues Closed (<30 days),Total Issues (all time),Total Issues Int (all time),Total Issues Ext (all time),Open Issues (all time),Stale Issues (>14),% Stale Issues (all time),Old Issues (>120),% Old Issues (all time),% Issues Closed by PR (all time),Average Issue open days (all time),Contributors (<30 days),Contributors Int (<30 days),Contributors Ext (<30 days),Contributors FTC (<30 days),Contributors (all time),Contributors Int (all time),Contributors Ext (all time),Stars (all time),Watches (all time),Forks (all time)
actors,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1,1,0,1,1,100%,1,100%,N/A,N/A,0,0,0,0,1,1,0,2,2,0
shanhai,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,3,0
metacycle,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,2,0,0
RenderingAndGraphics,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,2,1
Resources,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,2,1
Images,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,2,1
actions-mkdocs,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,1
openhutb.github.io,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,7,3,7
powerpoint2pdf,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,3,2,2
digital_twin,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,4,0,2
